G1,G2,G3,school_C,sex_C,age_C,address_C,famsize_C,Pstatus_C,Medu_C,Fedu_C,Mjob_C,Fjob_C,reason_C,guardian_C,traveltime_C,studytime_C,failures_C,schoolsup_C,famsup_C,paid_C,activities_C,nursery_C,higher_C,internet_C,romantic_C,famrel_C,freetime_C,goout_C,Dalc_C,Walc_C,health_C,absences_C,G1_C,G2_C,G3_C,rank
19,19,20,0,0,0,0,1,0,4,3,1,2,1,0,1,4,0,1,1,1,0,0,0,0,1,4,2,2,1,1,2,0,3,3,3,1.0
8,1,20,0,1,1,0,1,1,3,0,0,4,1,1,3,4,1,0,1,1,0,0,0,1,1,5,4,1,4,5,3,0,2,3,3,2.0
18,12,20,1,0,1,1,1,0,2,4,3,0,2,1,2,2,1,0,0,0,0,0,0,1,0,3,2,4,4,4,2,0,1,2,3,3.0
17,8,20,1,0,1,1,0,0,0,3,0,2,0,0,1,4,0,1,1,0,0,1,1,0,0,4,2,4,5,4,3,2,1,3,2,4.0
4,13,20,0,1,1,1,0,1,3,1,0,4,2,1,3,4,1,0,0,1,1,0,1,0,1,2,2,4,3,5,1,2,3,1,3,5.0
5,19,20,0,1,0,1,1,1,1,0,2,1,3,1,1,3,0,0,1,0,0,0,1,1,0,2,3,5,3,5,4,0,3,1,0,6.0
13,7,20,0,0,0,1,0,1,0,1,3,3,3,0,2,1,0,0,1,0,1,0,0,1,1,2,3,3,5,3,1,1,3,0,3,7.0
10,2,20,1,0,1,0,1,0,3,0,4,4,2,0,4,2,0,0,0,0,0,1,1,1,1,3,1,4,4,5,3,2,1,2,1,8.0
10,18,20,0,0,1,1,0,1,2,1,2,4,3,1,4,4,0,0,1,0,1,1,0,1,1,5,2,4,3,4,1,0,3,3,0,9.0
8,14,20,1,0,1,1,1,0,0,4,2,3,2,0,4,3,1,0,0,1,0,0,1,1,0,5,1,4,2,5,1,1,2,2,0,10.0
19,8,20,1,0,0,1,0,0,0,2,1,1,0,2,2,4,3,1,0,1,0,0,1,0,1,3,1,3,1,2,3,2,2,0,3,11.0
16,12,20,0,1,0,1,0,1,3,3,4,2,2,2,3,4,3,0,1,1,1,0,0,1,1,2,4,5,5,4,1,0,3,0,0,12.0
12,17,20,0,0,0,0,0,1,2,2,0,0,0,2,4,4,0,0,0,0,0,0,0,0,1,3,3,2,1,5,2,0,2,0,2,13.0
19,0,20,1,1,0,1,1,0,0,4,4,2,3,1,3,4,3,0,1,0,0,0,0,0,1,4,5,5,1,2,2,0,1,3,0,14.0
5,0,20,1,1,0,0,0,0,3,2,2,3,2,0,2,1,1,0,0,1,1,0,1,1,1,1,5,2,1,5,3,0,1,0,1,15.0
