G1,G2,G3,school_C,sex_C,age_C,address_C,famsize_C,Pstatus_C,Medu_C,Fedu_C,Mjob_C,Fjob_C,reason_C,guardian_C,traveltime_C,studytime_C,failures_C,schoolsup_C,famsup_C,paid_C,activities_C,nursery_C,higher_C,internet_C,romantic_C,famrel_C,freetime_C,goout_C,Dalc_C,Walc_C,health_C,absences_C,G1_C,G2_C,G3_C,rank
19,19,20,0,0,0,0,1,0,4,3,1,2,1,0,1,4,0,1,1,1,0,0,0,0,1,4,2,2,1,1,2,0,3,3,3,1.0
4,4,20,0,0,1,0,1,0,1,1,2,3,2,0,1,3,3,0,1,0,0,0,1,1,1,1,2,2,3,4,4,2,1,2,1,2.0
9,6,20,1,1,1,0,1,0,3,0,1,3,3,2,4,3,3,0,0,1,1,0,0,1,1,2,4,5,4,3,5,0,1,1,3,3.0
19,4,20,0,0,0,1,1,1,2,3,3,4,3,1,3,4,2,1,1,1,1,0,0,1,0,4,1,1,1,3,1,0,0,1,2,4.0
6,16,20,1,1,0,1,0,1,0,3,2,4,3,2,4,3,3,1,0,0,1,1,1,0,0,2,5,4,4,3,1,1,1,3,2,5.0
3,5,20,1,1,0,1,0,1,1,1,2,2,2,0,3,2,2,0,0,1,1,0,1,1,0,3,4,3,1,3,2,0,0,0,0,6.0
16,1,20,1,1,1,0,0,0,4,0,1,2,2,2,1,4,1,1,0,0,0,0,1,1,0,5,1,5,3,3,4,0,0,1,2,7.0
17,14,20,1,1,0,0,1,1,3,4,0,0,3,1,3,1,1,1,1,0,0,1,1,0,0,3,1,1,1,3,5,0,3,3,3,8.0
6,17,20,1,1,0,0,1,0,4,0,3,3,3,2,3,2,0,1,0,0,0,0,0,1,1,3,4,5,4,4,3,2,0,1,2,9.0
11,10,20,1,0,0,0,1,0,0,0,2,3,0,1,4,1,1,0,1,0,0,0,1,1,0,5,2,3,1,5,2,2,0,2,0,10.0
6,18,20,1,1,1,1,1,1,2,1,2,4,3,1,3,4,3,1,1,1,0,0,0,0,0,5,2,2,4,1,3,1,2,1,3,11.0
4,8,20,0,1,1,0,1,1,2,0,2,2,1,1,3,4,1,0,0,1,1,0,0,1,0,1,3,3,1,1,1,2,1,2,0,12.0
7,7,20,1,1,0,0,0,1,3,4,2,1,1,2,2,3,1,0,0,0,0,0,1,0,1,5,4,1,1,3,3,1,1,0,1,13.0
19,11,20,1,0,0,0,1,1,0,4,1,3,1,2,2,2,0,0,0,0,1,0,1,1,1,4,1,1,5,4,2,2,1,0,1,14.0
12,4,20,1,1,0,0,0,0,1,0,3,0,1,2,4,1,1,1,0,0,1,0,1,0,1,1,4,3,3,3,3,2,3,0,2,15.0
17,15,20,1,0,0,0,1,0,1,0,1,0,2,2,4,2,1,1,0,0,0,0,0,0,0,2,4,2,3,5,2,0,1,1,3,16.0
7,6,20,1,1,0,0,0,0,0,3,1,2,2,0,1,3,0,1,0,1,0,0,1,1,0,4,2,3,4,5,3,2,1,3,1,17.0
16,14,20,1,1,0,1,1,0,1,1,2,3,0,0,2,4,3,0,0,0,1,1,0,1,1,3,5,5,2,4,2,2,0,1,1,18.0
18,14,20,0,0,0,1,0,0,0,1,1,1,0,2,4,1,3,0,1,0,0,1,0,1,1,4,3,2,5,5,5,1,1,2,0,19.0
17,8,20,1,1,1,1,1,1,2,0,4,3,1,0,1,4,3,1,0,0,1,0,1,0,1,3,2,2,3,4,1,2,1,0,3,20.0
3,12,20,1,0,1,0,0,1,0,1,3,4,0,0,2,4,3,0,0,1,0,0,1,0,1,2,1,2,4,1,1,2,2,2,1,21.0
7,10,20,0,1,0,0,1,0,0,1,0,1,0,1,2,4,3,1,0,1,1,0,1,1,0,3,3,5,2,4,5,2,0,0,3,22.0
9,6,20,1,0,1,1,1,0,0,2,2,2,0,1,1,4,1,0,1,1,1,1,0,1,1,2,3,2,2,4,5,0,0,2,0,23.0
6,12,20,0,0,0,1,0,1,1,3,4,3,1,2,3,2,2,1,1,0,0,1,0,1,1,4,4,3,4,4,4,0,2,2,0,24.0
13,14,20,0,1,0,1,0,1,1,4,2,1,2,2,2,3,1,0,0,0,1,0,0,1,0,1,5,1,4,2,2,0,2,3,0,25.0
10,8,20,0,1,1,0,0,1,4,1,0,4,1,2,3,2,0,1,0,1,0,0,0,1,0,3,4,4,2,4,3,2,2,2,0,26.0
8,1,20,0,0,0,1,1,0,0,0,0,3,1,0,4,4,0,1,1,0,1,0,0,1,0,2,5,5,2,2,1,2,2,1,1,27.0
7,7,20,0,1,1,1,1,1,1,1,1,3,0,2,3,1,2,0,0,0,0,0,1,0,1,4,1,3,3,3,5,1,2,2,3,28.0
14,8,20,1,1,1,0,0,1,1,0,4,3,0,2,3,3,3,0,0,1,1,0,0,1,0,2,1,3,4,2,2,1,0,3,3,29.0
19,1,20,0,0,1,1,0,0,4,1,3,4,3,1,4,1,2,1,1,0,1,1,1,1,0,5,4,5,5,4,3,2,1,1,3,30.0
12,7,20,0,1,1,0,1,0,0,2,4,4,3,1,2,4,3,0,1,0,0,1,1,1,1,1,3,2,5,4,4,1,3,1,2,31.0
7,15,20,0,0,1,0,0,0,0,1,3,4,1,1,2,3,0,1,0,0,0,0,0,0,1,1,3,4,4,1,1,1,3,2,2,32.0
16,7,20,1,0,0,1,0,0,0,1,4,4,3,1,2,4,0,0,0,0,1,1,1,0,0,1,4,3,3,4,5,2,0,2,1,33.0
14,1,20,0,0,0,0,1,1,4,3,1,1,0,0,3,2,0,1,1,0,1,1,1,1,1,4,2,5,4,4,1,0,1,3,0,34.0
7,16,20,1,0,0,1,0,0,0,1,2,3,1,0,3,3,2,0,0,1,0,1,1,1,0,4,2,2,3,3,3,0,3,2,0,35.0
7,12,20,0,0,0,0,1,1,1,3,2,3,1,2,4,1,0,1,1,1,1,1,0,1,1,1,1,3,1,2,4,2,3,3,3,36.0
16,9,20,0,1,1,0,0,0,2,0,0,0,2,2,1,2,3,0,1,1,0,0,1,0,0,5,2,1,2,3,1,0,3,2,0,37.0
9,7,20,1,1,1,0,0,0,4,3,3,1,0,0,1,4,0,1,1,0,0,0,0,1,1,1,5,1,1,2,2,1,3,2,2,38.0
12,6,20,0,0,0,1,1,0,1,2,0,4,3,0,2,2,3,1,0,0,0,1,1,1,1,1,1,4,2,5,4,1,2,1,1,39.0
14,6,20,0,1,1,1,0,0,2,3,2,3,1,0,3,3,3,0,0,1,0,1,1,1,1,1,3,4,3,1,3,1,1,3,0,40.0
19,0,20,1,1,0,1,0,1,1,2,0,4,3,2,1,1,1,0,1,1,0,1,1,0,1,4,1,2,5,3,2,1,1,3,1,41.0
9,11,20,1,1,1,1,1,0,2,0,2,0,0,0,1,2,1,0,0,1,1,1,0,1,1,1,2,1,3,3,2,1,0,0,2,42.0
16,18,19,0,0,0,0,0,1,3,2,2,4,0,0,1,2,0,1,0,0,1,0,0,0,1,4,2,2,1,1,1,0,3,3,3,43.0
18,19,19,0,0,0,0,0,1,4,4,0,0,2,0,1,1,0,1,1,1,0,0,0,0,1,5,5,3,1,1,4,0,3,3,3,44.0
