G1,G2,G3,school_C,sex_C,age_C,address_C,famsize_C,Pstatus_C,Medu_C,Fedu_C,Mjob_C,Fjob_C,reason_C,guardian_C,traveltime_C,studytime_C,failures_C,schoolsup_C,famsup_C,paid_C,activities_C,nursery_C,higher_C,internet_C,romantic_C,famrel_C,freetime_C,goout_C,Dalc_C,Walc_C,health_C,absences_C,G1_C,G2_C,G3_C,rank
19,19,20,0,0,0,0,1,0,4,3,1,2,1,0,1,4,0,1,1,1,0,0,0,0,1,4,2,2,1,1,2,0,3,3,3,1.0
6,3,20,0,0,0,1,1,1,0,1,4,1,1,0,1,1,3,1,1,1,1,0,0,1,1,3,1,2,4,3,5,2,1,0,2,2.0
3,3,20,0,1,1,1,1,1,0,1,0,3,3,2,2,3,2,0,0,1,1,0,1,1,0,1,1,3,1,2,5,2,3,2,2,3.0
9,15,20,0,0,0,0,0,1,1,0,0,0,2,2,4,1,2,0,0,1,0,0,1,0,0,2,1,2,3,1,5,2,1,3,1,4.0
10,15,20,0,1,1,0,0,1,3,1,1,4,0,0,3,1,2,0,0,1,1,0,1,1,0,3,5,1,5,1,2,2,2,0,2,5.0
5,12,20,0,1,1,0,1,0,0,4,4,1,3,1,3,3,2,0,0,0,1,1,1,0,1,5,3,4,4,4,1,2,1,2,3,6.0
12,3,20,1,1,1,1,0,1,0,2,0,1,0,0,2,3,1,0,0,0,1,0,0,0,0,1,5,1,1,4,2,1,0,0,0,7.0
14,9,20,1,1,0,0,0,0,4,2,1,1,2,0,1,3,1,1,1,1,0,1,0,1,1,3,5,2,2,4,5,1,2,2,1,8.0
4,10,20,0,0,1,1,0,0,4,3,4,1,2,0,2,1,1,0,1,1,1,0,0,1,0,4,1,1,5,1,4,1,1,0,3,9.0
14,18,20,0,0,1,0,0,0,3,4,1,3,2,1,1,2,0,0,0,1,1,0,1,0,0,5,4,4,5,4,5,0,1,2,2,10.0
10,7,20,1,1,1,1,1,0,2,0,3,0,2,2,2,2,2,0,1,1,1,0,1,1,0,2,1,5,5,4,1,1,3,0,0,11.0
11,18,20,1,1,0,1,1,1,0,4,3,1,3,0,2,3,1,0,1,1,0,1,1,0,0,1,5,3,2,5,3,2,3,3,3,12.0
15,11,20,1,1,0,0,0,0,2,0,1,2,3,0,2,1,2,0,1,0,1,1,1,1,1,1,4,2,2,3,5,2,3,2,2,13.0
8,9,20,0,0,0,0,0,1,0,1,2,0,1,2,2,2,1,0,0,1,1,1,0,1,0,4,5,1,1,3,2,1,0,3,1,14.0
16,14,20,1,1,1,0,0,0,0,2,1,0,2,0,4,4,0,0,1,0,0,0,0,0,0,1,5,1,4,2,3,0,1,3,1,15.0
19,9,20,1,1,0,1,1,1,1,0,4,1,2,2,3,4,1,1,1,0,0,0,1,1,1,4,3,5,3,1,4,2,3,1,2,16.0
11,18,20,0,1,1,1,1,1,4,4,0,1,2,2,4,4,1,1,1,0,0,1,1,0,1,5,3,2,3,5,1,2,2,3,2,17.0
8,3,20,1,1,1,1,0,1,3,3,2,1,3,0,2,3,3,0,1,1,1,1,0,1,0,5,5,3,3,2,2,1,2,1,1,18.0
17,3,20,1,1,1,0,1,1,1,0,4,0,1,0,4,1,0,1,1,1,0,1,0,1,1,1,2,4,2,2,1,1,3,3,1,19.0
15,17,20,0,0,0,1,1,0,4,3,2,4,0,2,1,2,3,1,0,1,1,0,1,0,1,1,4,2,4,5,4,2,2,3,1,20.0
17,14,20,0,0,0,0,0,1,0,0,2,1,0,0,4,3,2,0,1,1,0,0,0,1,0,1,3,4,5,1,1,1,3,2,3,21.0
15,7,20,1,1,0,0,0,0,2,2,1,2,3,0,4,1,3,1,1,0,0,1,0,0,0,4,4,5,1,2,2,0,1,1,3,22.0
12,11,20,1,0,1,0,1,1,2,1,3,1,0,0,1,4,3,1,1,0,1,1,1,1,0,4,2,4,3,2,4,1,0,1,2,23.0
11,18,20,1,1,0,1,1,0,3,2,3,0,1,0,1,3,2,0,1,1,1,1,0,0,1,5,4,1,3,5,4,0,1,1,1,24.0
16,15,20,1,1,1,1,1,0,4,3,2,2,3,1,2,4,0,0,0,1,0,0,0,1,1,5,3,1,1,5,4,1,1,0,1,25.0
4,15,20,1,0,1,1,1,1,2,1,2,2,1,2,2,3,1,1,1,0,0,0,1,1,0,1,1,4,3,2,4,1,2,0,2,26.0
12,8,20,1,1,0,0,1,0,2,2,2,4,3,1,2,1,0,0,1,0,1,1,0,0,0,1,1,1,4,1,2,0,0,1,1,27.0
6,1,20,1,0,0,1,0,1,2,4,4,2,3,0,3,3,1,0,0,0,0,1,1,0,1,5,1,1,5,2,3,2,2,2,0,28.0
