G1,G2,G3,school_C,sex_C,age_C,address_C,famsize_C,Pstatus_C,Medu_C,Fedu_C,Mjob_C,Fjob_C,reason_C,guardian_C,traveltime_C,studytime_C,failures_C,schoolsup_C,famsup_C,paid_C,activities_C,nursery_C,higher_C,internet_C,romantic_C,famrel_C,freetime_C,goout_C,Dalc_C,Walc_C,health_C,absences_C,G1_C,G2_C,G3_C,rank
19,19,20,0,0,0,0,1,0,4,3,1,2,1,0,1,4,0,1,1,1,0,0,0,0,1,4,2,2,1,1,2,0,3,3,3,1.0
10,10,20,0,1,0,1,0,0,1,0,2,3,1,1,2,3,1,1,1,1,0,0,1,1,1,1,5,1,1,1,1,1,2,1,1,2.0
8,12,20,1,0,1,1,0,0,4,4,1,0,0,0,4,1,3,0,0,0,0,0,0,1,0,5,4,3,1,2,4,1,3,1,1,3.0
8,6,20,0,1,1,0,0,0,3,4,0,1,1,1,1,2,0,1,1,0,0,0,0,1,0,2,2,4,2,3,1,2,1,0,3,4.0
10,5,20,0,1,0,1,0,0,1,0,4,2,3,0,1,4,2,0,1,1,1,1,1,1,1,4,3,3,3,1,1,2,3,0,3,5.0
9,12,20,0,0,1,0,0,0,1,0,1,3,3,2,4,1,2,1,1,1,0,1,0,1,0,1,4,5,4,4,2,0,3,0,1,6.0
18,2,20,1,0,0,0,0,1,4,0,2,2,3,2,2,1,3,0,1,1,1,1,1,0,1,1,3,4,4,5,4,0,3,3,0,7.0
8,0,20,0,0,1,0,0,1,3,0,2,2,2,0,1,4,3,1,1,0,1,0,1,1,1,5,2,1,5,1,3,2,1,3,1,8.0
5,1,20,0,0,1,0,1,0,1,2,2,3,3,1,1,2,3,1,0,1,0,0,1,0,0,5,4,5,5,3,3,0,3,3,3,9.0
9,11,20,1,0,1,0,0,0,2,0,3,0,3,2,3,2,0,0,1,1,0,0,0,1,1,1,5,2,2,1,4,2,3,1,3,10.0
4,1,20,0,1,0,0,1,0,2,3,1,2,2,0,1,1,2,1,0,1,1,0,1,1,0,1,2,2,1,1,2,2,2,2,3,11.0
14,2,20,1,1,1,0,1,1,1,4,2,3,3,1,1,1,3,0,1,0,0,0,0,1,1,3,3,4,5,2,4,0,1,2,0,12.0
16,18,19,0,0,0,0,0,1,3,2,2,4,0,0,1,2,0,1,0,0,1,0,0,0,1,4,2,2,1,1,1,0,3,3,3,13.0
18,19,19,0,0,0,0,0,1,4,4,0,0,2,0,1,1,0,1,1,1,0,0,0,0,1,5,5,3,1,1,4,0,3,3,3,14.0
18,19,19,0,0,0,0,0,0,4,2,0,4,2,0,1,1,0,1,1,1,1,0,0,0,1,3,5,2,1,1,3,0,3,3,3,15.0
18,18,19,0,1,0,0,1,0,2,2,3,3,3,0,1,3,0,1,0,0,1,0,0,0,1,4,3,3,1,2,2,0,3,3,3,16.0
19,18,19,1,1,0,1,0,0,4,4,4,4,1,0,2,3,0,1,1,1,1,0,0,0,1,5,4,4,1,1,1,0,3,3,3,17.0
6,4,19,0,1,1,1,0,0,3,1,1,1,1,0,4,1,0,0,1,0,1,1,1,0,1,5,3,1,5,3,4,1,2,2,0,18.0
4,8,19,1,1,0,0,1,0,1,3,2,0,3,2,2,1,3,0,0,1,1,0,1,1,1,2,5,2,5,3,4,1,3,0,0,19.0
