G1,G2,G3,school_C,sex_C,age_C,address_C,famsize_C,Pstatus_C,Medu_C,Fedu_C,Mjob_C,Fjob_C,reason_C,guardian_C,traveltime_C,studytime_C,failures_C,schoolsup_C,famsup_C,paid_C,activities_C,nursery_C,higher_C,internet_C,romantic_C,famrel_C,freetime_C,goout_C,Dalc_C,Walc_C,health_C,absences_C,G1_C,G2_C,G3_C,rank
19,19,20,0,0,0,0,1,0,4,3,1,2,1,0,1,4,0,1,1,1,0,0,0,0,1,4,2,2,1,1,2,0,3,3,3,1.0
5,10,20,1,0,0,0,1,0,1,1,3,4,3,1,3,2,2,1,0,1,1,0,1,1,1,4,4,1,3,4,5,2,1,3,0,2.0
5,5,20,0,1,0,0,0,1,3,4,1,4,2,0,2,1,3,0,1,1,0,0,0,0,1,3,5,1,3,1,3,1,2,0,2,3.0
12,9,20,0,0,0,1,0,0,2,2,3,2,3,0,4,1,1,0,1,0,1,0,0,1,0,4,4,4,5,5,4,2,1,3,1,4.0
4,7,20,0,1,1,0,1,0,0,0,3,1,0,1,3,1,1,1,0,1,0,1,0,1,0,5,2,3,4,3,2,0,3,0,1,5.0
6,14,20,1,0,1,0,1,0,0,2,2,0,2,2,3,1,2,1,1,0,1,1,0,0,1,4,3,5,4,3,5,1,1,2,3,6.0
3,15,20,0,0,1,0,0,1,0,2,1,1,1,2,2,2,1,0,0,0,1,0,1,0,1,1,5,5,4,4,3,1,0,3,1,7.0
14,15,20,1,1,0,1,1,1,0,3,2,1,1,2,4,4,1,1,0,1,0,0,1,1,1,3,2,2,1,2,4,2,3,3,3,8.0
14,19,20,1,1,1,0,0,1,2,4,2,2,3,0,3,3,3,0,1,1,1,0,1,0,1,4,5,5,1,4,3,0,1,0,0,9.0
18,2,20,1,1,0,1,0,1,0,3,0,3,3,2,2,2,3,1,0,0,1,0,1,0,1,2,2,4,1,2,3,0,0,2,2,10.0
7,5,20,1,1,0,0,1,1,4,1,0,0,2,0,4,3,2,0,1,0,1,1,0,1,1,2,5,1,1,3,2,1,1,0,3,11.0
13,16,20,1,0,0,1,0,1,0,3,3,4,0,2,1,1,2,1,1,1,0,0,1,1,0,5,2,4,5,1,1,1,2,0,2,12.0
6,12,20,0,1,1,0,0,1,2,3,2,1,3,1,1,3,1,1,1,0,0,1,0,1,1,1,3,1,2,4,3,0,0,3,3,13.0
10,4,20,1,1,0,1,0,1,3,4,2,1,3,2,1,2,1,0,0,0,1,0,0,0,1,1,1,3,2,1,1,0,0,3,1,14.0
16,6,20,0,1,0,1,1,1,0,1,0,1,3,0,1,2,2,0,0,1,0,1,1,1,1,1,5,5,4,4,3,2,3,1,0,15.0
8,11,20,0,1,1,0,1,0,4,2,1,1,2,1,2,1,2,0,0,1,0,0,1,0,0,1,1,2,1,3,5,2,1,1,1,16.0
8,7,20,0,0,0,1,1,0,1,3,3,3,0,2,2,4,2,0,0,1,1,1,0,1,0,3,2,1,2,3,2,1,3,0,1,17.0
16,18,19,0,0,0,0,0,1,3,2,2,4,0,0,1,2,0,1,0,0,1,0,0,0,1,4,2,2,1,1,1,0,3,3,3,18.0
18,19,19,0,0,0,0,0,1,4,4,0,0,2,0,1,1,0,1,1,1,0,0,0,0,1,5,5,3,1,1,4,0,3,3,3,19.0
18,19,19,0,0,0,0,0,0,4,2,0,4,2,0,1,1,0,1,1,1,1,0,0,0,1,3,5,2,1,1,3,0,3,3,3,20.0
18,18,19,0,1,0,0,1,0,2,2,3,3,3,0,1,3,0,1,0,0,1,0,0,0,1,4,3,3,1,2,2,0,3,3,3,21.0
19,18,19,1,1,0,1,0,0,4,4,4,4,1,0,2,3,0,1,1,1,1,0,0,0,1,5,4,4,1,1,1,0,3,3,3,22.0
18,6,19,1,0,0,0,1,1,3,2,1,4,0,1,1,3,2,1,0,0,0,0,0,0,0,1,4,3,2,4,2,1,2,2,3,23.0
4,10,19,1,0,0,1,1,1,3,2,0,1,1,2,4,4,1,1,0,1,1,0,0,1,1,1,4,4,3,3,2,0,3,1,0,24.0
9,7,19,0,1,1,1,1,1,2,1,0,3,1,2,3,1,3,1,0,0,1,1,0,1,1,5,5,4,3,1,5,2,3,2,2,25.0
5,9,19,0,0,0,0,1,1,3,0,3,0,3,0,2,4,1,0,0,1,1,1,0,0,1,4,4,2,5,1,5,0,1,3,0,26.0
15,2,19,1,0,0,0,1,1,0,3,4,1,2,0,2,3,1,0,0,0,0,1,0,0,0,5,4,2,5,2,5,2,3,2,0,27.0
13,8,19,0,0,0,0,1,0,0,2,0,2,0,0,3,4,3,1,0,0,0,1,0,1,0,5,4,3,3,1,1,1,0,3,2,28.0
15,15,19,0,1,1,1,0,1,3,3,3,1,3,1,2,4,3,1,1,1,0,1,0,1,1,5,1,2,4,5,1,2,3,1,1,29.0
6,3,19,1,0,1,0,1,1,3,0,1,2,1,0,2,2,1,1,1,1,1,0,0,0,1,2,2,3,4,5,5,1,3,2,1,30.0
15,8,19,1,1,0,1,1,0,1,4,4,4,1,0,3,2,0,0,0,0,1,0,1,0,1,4,3,3,5,5,5,0,3,0,2,31.0
4,14,19,0,0,0,0,1,1,3,2,0,0,0,1,1,1,2,1,1,0,0,0,0,1,0,2,4,4,3,1,1,2,0,2,1,32.0
10,12,19,0,1,0,1,1,0,3,2,1,3,2,2,1,3,3,0,0,1,1,1,1,0,1,4,3,3,3,3,5,1,1,0,3,33.0
13,2,19,1,0,1,0,1,0,1,0,4,4,1,0,1,1,3,0,0,0,0,0,0,0,0,1,3,5,1,1,3,1,3,2,1,34.0
13,4,19,1,1,1,0,1,0,1,3,0,1,1,1,4,4,3,0,0,1,0,1,0,1,0,3,5,2,3,4,5,1,0,2,0,35.0
12,13,19,0,0,1,1,0,0,3,2,2,0,2,1,1,1,0,0,0,1,0,0,0,1,1,5,2,1,2,3,4,2,2,3,0,36.0
15,14,19,1,1,0,1,0,1,1,4,1,4,3,0,3,1,3,0,0,1,0,0,1,0,1,2,1,4,1,3,2,0,1,1,3,37.0
9,3,19,1,1,1,0,0,1,2,3,1,3,1,1,1,1,2,0,0,0,1,0,1,1,1,1,4,3,1,5,5,1,1,0,0,38.0
16,19,19,0,1,0,1,0,0,4,0,3,3,0,1,2,1,1,1,0,0,0,0,0,1,0,1,2,1,2,2,1,2,2,0,0,39.0
9,18,19,1,0,0,1,0,1,1,4,1,2,1,0,3,4,3,1,0,1,0,0,0,0,0,2,4,4,3,1,1,2,3,3,0,40.0
14,12,19,0,1,0,0,1,1,0,3,0,3,2,2,3,4,2,1,0,1,0,0,0,0,0,1,4,5,1,1,5,1,2,2,0,41.0
15,16,18,0,0,0,0,0,0,4,3,0,2,0,0,1,3,0,1,0,1,0,0,0,0,1,5,4,3,1,1,4,0,2,3,3,42.0
19,18,18,0,0,0,0,1,0,4,4,2,0,2,1,1,2,0,1,0,1,0,0,0,0,1,4,3,3,1,1,5,0,3,3,3,43.0
16,17,18,0,1,0,0,1,0,4,3,2,4,1,0,1,1,0,1,1,0,0,0,0,0,1,4,5,5,1,3,1,0,3,3,3,44.0
16,18,18,0,0,0,0,1,1,3,4,2,4,2,0,1,2,0,1,0,0,0,0,0,0,1,5,4,4,1,1,1,0,3,3,3,45.0
16,18,18,0,0,0,0,1,0,3,3,2,4,0,1,1,3,0,1,0,1,0,0,0,0,1,5,3,3,1,1,5,0,3,3,3,46.0
18,18,18,0,0,0,1,1,0,4,4,0,0,2,0,1,1,0,1,1,0,0,0,0,0,1,3,5,5,2,5,4,0,3,3,3,47.0
18,18,18,0,1,0,0,1,0,4,4,2,0,0,0,2,1,1,1,0,1,1,0,0,0,1,4,2,4,2,3,2,0,3,3,3,48.0
18,18,18,0,0,0,0,1,0,2,1,4,4,2,0,3,1,0,1,1,1,1,0,0,0,1,4,3,3,1,1,4,0,3,3,3,49.0
17,18,18,0,1,0,0,1,0,4,3,2,4,0,1,1,2,0,1,0,0,1,0,0,0,0,3,1,2,1,3,2,0,3,3,3,50.0
18,18,18,0,1,0,1,0,0,3,1,2,4,1,0,2,4,0,1,0,0,1,0,0,1,1,3,1,2,1,1,3,0,3,3,3,51.0
17,17,18,0,1,0,0,1,0,3,2,1,1,1,1,1,4,0,1,0,0,0,1,0,0,1,5,2,2,1,2,5,0,3,3,3,52.0
17,18,18,0,0,1,0,1,1,3,2,2,4,2,2,1,1,0,1,1,1,0,0,0,1,1,5,5,3,1,1,5,0,3,3,3,53.0
10,11,18,0,1,0,1,0,0,2,4,2,1,1,1,1,1,2,1,0,1,0,1,1,0,1,3,2,5,1,4,1,0,2,1,2,54.0
