G1,G2,G3,school_C,sex_C,age_C,address_C,famsize_C,Pstatus_C,Medu_C,Fedu_C,Mjob_C,Fjob_C,reason_C,guardian_C,traveltime_C,studytime_C,failures_C,schoolsup_C,famsup_C,paid_C,activities_C,nursery_C,higher_C,internet_C,romantic_C,famrel_C,freetime_C,goout_C,Dalc_C,Walc_C,health_C,absences_C,G1_C,G2_C,G3_C,rank
19,19,20,0,0,0,0,1,0,4,3,1,2,1,0,1,4,0,1,1,1,0,0,0,0,1,4,2,2,1,1,2,0,3,3,3,1.0
16,6,20,0,0,0,1,0,1,2,1,3,2,3,0,1,3,0,0,0,1,0,1,0,0,1,3,5,3,5,1,2,0,0,2,3,2.0
10,7,20,0,1,1,0,0,0,1,2,1,3,2,1,4,3,1,1,0,1,0,0,0,1,0,5,4,5,5,4,1,1,2,2,0,3.0
8,1,20,0,1,1,1,1,0,3,0,1,2,2,1,2,1,3,1,1,1,1,1,1,1,1,2,1,3,3,1,5,2,3,2,3,4.0
6,9,20,1,1,0,0,1,1,0,1,4,1,1,0,1,4,1,1,0,1,0,0,1,1,1,5,3,4,2,5,2,2,2,0,3,5.0
16,2,20,0,0,1,0,0,1,1,4,4,2,3,2,2,4,1,1,0,1,1,1,0,0,0,2,4,1,3,4,5,0,1,1,2,6.0
16,18,19,0,0,0,0,0,1,3,2,2,4,0,0,1,2,0,1,0,0,1,0,0,0,1,4,2,2,1,1,1,0,3,3,3,7.0
18,19,19,0,0,0,0,0,1,4,4,0,0,2,0,1,1,0,1,1,1,0,0,0,0,1,5,5,3,1,1,4,0,3,3,3,8.0
18,19,19,0,0,0,0,0,0,4,2,0,4,2,0,1,1,0,1,1,1,1,0,0,0,1,3,5,2,1,1,3,0,3,3,3,9.0
18,18,19,0,1,0,0,1,0,2,2,3,3,3,0,1,3,0,1,0,0,1,0,0,0,1,4,3,3,1,2,2,0,3,3,3,10.0
19,18,19,1,1,0,1,0,0,4,4,4,4,1,0,2,3,0,1,1,1,1,0,0,0,1,5,4,4,1,1,1,0,3,3,3,11.0
16,2,19,1,0,0,0,1,0,4,2,3,1,0,1,1,4,2,0,1,0,0,0,1,1,0,5,4,3,5,1,5,0,0,2,3,12.0
13,11,19,1,0,0,1,1,1,2,4,1,4,0,1,1,2,2,0,0,0,0,1,0,0,1,3,1,5,4,2,3,1,0,3,0,13.0
12,9,19,0,1,0,0,1,0,1,3,1,1,0,0,2,4,3,1,1,1,0,1,1,0,1,2,3,2,2,5,2,0,1,2,1,14.0
