,age,workclass,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
0,0,2,1,7,4,6,3,2,1,0,0,2,38,0
1,0,2,11,9,2,4,0,4,1,0,0,2,38,0
2,0,1,7,12,2,10,0,4,1,0,0,2,38,1
3,1,2,15,10,2,6,0,2,1,4,0,2,38,1
4,0,2,0,6,4,7,1,4,1,0,0,1,38,0
5,2,4,14,15,2,9,0,4,1,4,0,1,38,1
6,0,2,15,10,4,7,4,4,0,0,0,2,38,0
7,1,2,5,4,2,2,0,4,1,0,0,0,38,0
8,2,2,11,9,2,6,0,4,1,4,0,2,38,1
9,0,0,9,13,2,0,0,4,1,0,0,2,38,0
10,0,2,11,9,4,0,1,4,0,0,0,1,38,0
11,1,2,11,9,2,6,0,4,1,4,0,2,38,1
12,1,2,12,14,2,3,0,4,1,0,0,2,38,1
13,0,5,15,10,4,7,3,4,1,0,0,1,38,0
14,1,2,11,9,2,0,5,4,0,0,0,1,38,0
15,0,2,11,9,6,6,4,4,0,0,0,1,38,0
16,0,2,9,13,2,12,0,4,1,0,0,2,38,1
17,0,2,15,10,4,7,3,2,0,0,0,1,38,0
18,0,2,9,13,4,9,1,4,1,0,0,2,28,0
19,0,2,9,13,2,9,0,4,1,0,0,2,38,0
20,1,4,11,9,2,2,0,4,1,4,0,4,38,1
21,0,2,11,9,4,0,3,4,1,0,0,1,38,0
22,0,2,11,9,5,6,4,2,1,0,0,2,38,0
23,1,2,11,9,2,2,0,4,1,0,0,1,38,0
24,0,4,15,10,4,9,1,4,1,0,0,3,38,0
25,1,5,15,10,2,3,0,2,1,4,0,1,38,1
26,1,4,1,7,6,7,4,4,0,0,0,2,38,0
27,0,4,9,13,4,11,1,4,1,0,0,2,38,0
28,0,1,15,10,2,10,0,4,1,0,0,2,38,0
29,0,2,11,9,0,3,4,4,0,0,0,2,38,0
30,0,1,9,13,2,9,0,4,1,0,0,2,38,1
31,0,2,4,3,4,8,1,4,1,0,0,2,12,0
32,0,2,0,6,4,6,1,4,1,0,0,2,38,0
33,0,2,11,9,4,2,3,4,1,0,0,2,38,0
34,2,2,12,14,2,9,0,4,1,0,0,2,38,1
35,1,3,8,11,2,11,0,4,1,0,0,2,38,1
36,0,2,11,9,2,4,0,4,1,0,0,2,38,0
37,0,2,1,7,2,7,0,4,1,0,0,2,38,0
38,0,5,15,10,4,4,3,4,1,0,0,1,38,0
39,0,2,8,11,2,9,5,4,0,0,0,1,38,1
40,0,2,5,4,2,2,0,4,1,0,0,2,25,0
41,1,2,15,10,2,13,0,4,1,4,0,2,38,0
42,1,2,1,7,5,8,1,2,0,0,0,0,38,0
43,1,3,11,9,6,3,1,4,0,0,0,2,38,0
44,0,2,15,10,4,7,3,4,1,0,0,1,38,0
45,0,2,11,9,0,5,3,2,1,0,0,2,38,0
46,0,2,15,10,4,7,3,4,0,0,3,1,38,0
47,0,2,11,9,4,7,1,4,1,4,0,3,38,1
48,0,2,6,5,3,3,1,4,1,0,0,2,25,0
49,0,2,15,10,4,0,3,4,0,0,0,2,38,0
50,2,2,11,9,2,2,0,4,1,0,0,2,38,0
51,0,1,9,13,2,3,0,4,1,4,0,2,38,1
52,1,3,11,9,2,3,0,4,1,4,0,2,38,1
53,0,2,11,9,2,5,0,4,1,0,0,2,38,0
54,0,2,9,13,4,3,1,4,0,0,0,2,38,0
55,0,2,15,10,0,11,1,4,1,0,0,2,38,0
56,0,2,12,14,4,3,1,4,0,0,0,2,38,0
57,0,2,11,9,4,6,3,4,0,0,0,2,38,0
58,1,1,11,9,0,0,1,4,0,0,0,2,38,0
59,1,3,7,12,2,2,0,4,1,4,0,3,38,1
60,0,2,15,10,4,7,3,4,1,0,0,1,38,0
61,1,2,11,9,5,13,1,4,1,0,0,2,38,0
62,1,2,11,9,2,11,0,4,1,0,0,2,38,0
63,1,2,15,10,2,3,0,4,1,4,0,2,38,1
64,1,2,8,11,2,12,0,4,1,0,0,2,38,0
65,0,2,11,9,2,6,0,4,1,0,0,2,25,0
66,0,2,15,10,5,5,1,4,0,0,0,2,38,0
67,1,2,15,10,2,2,0,3,1,0,0,2,5,0
68,1,2,11,9,2,6,0,4,1,0,0,2,38,0
69,2,3,11,9,2,11,0,4,1,0,0,1,38,0
70,1,2,11,9,2,13,0,4,1,0,0,2,38,0
71,0,2,15,10,4,0,1,4,0,0,0,2,38,0
72,1,3,15,10,2,6,0,4,1,0,0,2,38,0
73,0,2,9,13,4,3,1,4,1,0,0,2,38,0
74,0,2,15,10,5,7,1,4,1,0,3,2,38,0
75,0,4,15,10,2,2,0,4,1,0,0,2,38,0
76,1,2,11,9,5,6,1,4,0,0,0,2,38,0
77,0,0,1,7,4,7,3,4,0,0,0,0,38,0
78,1,2,11,9,2,11,0,4,1,0,0,2,38,1
79,0,0,15,10,4,1,1,4,1,0,0,2,38,0
