StatusExistingAcc,DurationMonth_C,CreditHistory,Purpose,CreditAmount_C,SavingsAccount,EmploymentLength,InstallmentRate,MarriedNSex,Debtors,ResidenceLength,Property,Age_C,InstallmentPlans,Housing,ExistingCredit,Job,NumPeopleLiable,Telephone,ForeignWorker,score,rank
13,1,32,5,3,62,75,3,92,102,1,121,1,141,152,3,172,2,191,202,0.999495630442996,1
14,1,34,9,2,65,72,2,94,102,3,122,1,141,151,3,174,1,191,202,0.9978353474594014,2
13,3,33,9,3,63,71,2,92,101,1,123,1,141,151,2,173,1,191,201,0.996643946501604,3
13,2,30,7,3,61,74,2,92,102,3,124,2,143,151,4,174,2,192,202,0.9962654697800556,4
12,3,33,10,2,61,72,3,91,101,4,121,3,141,152,1,173,1,191,202,0.9938616504149852,5
12,2,33,9,1,61,74,1,94,103,2,121,3,143,152,4,174,2,192,201,0.9863847790733272,6
14,3,30,8,2,62,71,2,94,101,1,122,2,142,151,4,171,1,192,202,0.985668163135849,7
13,1,31,10,2,63,73,1,93,103,3,123,2,143,151,3,172,2,192,202,0.9822111116252952,8
12,2,32,8,3,61,72,3,94,101,3,122,1,141,152,3,172,1,191,201,0.9821445874899682,9
12,1,34,8,2,61,71,1,92,101,2,124,3,141,151,4,174,2,192,201,0.9770417999947576,10
13,3,31,5,2,64,74,4,93,103,2,124,1,141,152,1,174,2,192,202,0.97530335285019,11
11,1,34,9,3,61,71,1,94,102,3,124,1,141,151,1,172,1,192,201,0.973537147385,12
12,2,32,7,2,63,74,4,93,102,3,123,2,142,153,1,173,2,191,202,0.9691438806215492,13
14,1,31,3,3,64,73,4,91,103,2,124,2,143,152,2,173,1,192,202,0.968415237945558,14
11,3,30,3,1,65,74,4,91,101,3,123,1,143,152,1,171,2,191,201,0.9677855795498134,15
14,3,31,8,2,61,72,4,91,102,3,122,2,142,152,3,172,1,191,202,0.9662064163772874,16
11,3,34,3,3,61,74,1,93,103,2,123,1,141,152,4,174,2,192,202,0.9642132999842308,17
11,3,31,2,1,64,74,4,94,102,3,122,1,143,153,1,172,2,191,202,0.9629699874775688,18
13,1,31,0,3,64,74,2,91,103,1,122,3,141,153,3,173,2,191,202,0.959162570160701,19
