StatusExistingAcc,DurationMonth_C,CreditHistory,Purpose,CreditAmount_C,SavingsAccount,EmploymentLength,InstallmentRate,MarriedNSex,Debtors,ResidenceLength,Property,Age_C,InstallmentPlans,Housing,ExistingCredit,Job,NumPeopleLiable,Telephone,ForeignWorker,score,rank
13,1,32,5,3,62,75,3,92,102,1,121,1,141,152,3,172,2,191,202,0.999495630442996,1
14,1,34,9,2,65,72,2,94,102,3,122,1,141,151,3,174,1,191,202,0.9978353474594014,2
14,1,33,10,3,63,73,3,91,101,3,123,1,142,151,3,174,2,191,201,0.9976889286842334,3
11,1,32,6,3,63,74,4,91,101,4,122,3,143,151,4,171,2,191,201,0.9974216452228628,4
13,3,33,9,3,63,71,2,92,101,1,123,1,141,151,2,173,1,191,201,0.996643946501604,5
13,2,30,7,3,61,74,2,92,102,3,124,2,143,151,4,174,2,192,202,0.9962654697800556,6
12,3,33,10,2,61,72,3,91,101,4,121,3,141,152,1,173,1,191,202,0.9938616504149852,7
12,2,32,5,3,63,73,4,94,102,3,123,2,142,152,1,174,2,191,201,0.9917510909597516,8
11,1,31,6,1,64,73,2,94,102,1,122,1,141,152,2,171,2,192,201,0.9914431071515892,9
13,3,33,0,1,65,71,3,93,103,3,121,1,142,152,4,172,2,191,201,0.9882592219717298,10
13,3,31,6,2,63,73,3,94,103,4,122,2,142,153,2,174,2,192,202,0.988015674398052,11
12,2,33,9,1,61,74,1,94,103,2,121,3,143,152,4,174,2,192,201,0.9863847790733272,12
14,3,30,8,2,62,71,2,94,101,1,122,2,142,151,4,171,1,192,202,0.985668163135849,13
11,3,33,6,3,62,72,4,92,101,2,121,3,141,152,3,172,1,191,201,0.9841216056195844,14
13,1,31,10,2,63,73,1,93,103,3,123,2,143,151,3,172,2,192,202,0.9822111116252952,15
12,2,32,8,3,61,72,3,94,101,3,122,1,141,152,3,172,1,191,201,0.9821445874899682,16
11,3,34,8,3,61,71,1,93,101,4,123,2,143,151,2,173,2,191,201,0.9812880190675848,17
13,2,34,10,3,61,75,1,93,101,2,123,3,142,153,2,172,2,192,201,0.9803497184987966,18
12,3,34,8,2,62,75,4,92,101,4,122,1,141,151,4,171,1,192,201,0.9779422866309858,19
