StatusExistingAcc,DurationMonth_C,CreditHistory,Purpose,CreditAmount_C,SavingsAccount,EmploymentLength,InstallmentRate,MarriedNSex,Debtors,ResidenceLength,Property,Age_C,InstallmentPlans,Housing,ExistingCredit,Job,NumPeopleLiable,Telephone,ForeignWorker,score,rank
12,3,34,0,1,61,72,4,91,103,1,124,2,142,153,3,173,1,191,201,0.9998840268812428,1
13,1,32,5,3,62,75,3,92,102,1,121,1,141,152,3,172,2,191,202,0.999495630442996,2
12,1,31,7,2,64,75,4,93,101,4,124,2,143,153,4,172,1,192,201,0.9994394269065204,3
14,3,30,0,3,64,74,2,92,103,3,124,2,143,152,2,171,2,192,201,0.9994207301060716,4
12,1,30,1,1,64,72,2,94,102,4,122,3,143,152,1,172,1,191,202,0.9991498630975476,5
12,2,31,10,1,64,73,1,92,103,2,121,2,143,151,2,172,1,192,202,0.9985742413882638,6
11,3,33,8,3,65,72,4,91,101,4,124,2,142,152,2,172,2,192,201,0.9984511949637644,7
13,1,33,1,3,64,75,3,94,102,3,122,1,142,151,1,172,2,192,202,0.998361540615125,8
11,1,33,8,1,62,75,2,93,102,1,123,1,143,151,2,173,2,192,201,0.9978994740404628,9
14,1,34,9,2,65,72,2,94,102,3,122,1,141,151,3,174,1,191,202,0.9978353474594014,10
14,1,33,10,3,63,73,3,91,101,3,123,1,142,151,3,174,2,191,201,0.9976889286842334,11
11,1,32,6,3,63,74,4,91,101,4,122,3,143,151,4,171,2,191,201,0.9974216452228628,12
12,3,31,8,2,65,71,4,94,101,2,122,1,141,153,2,174,1,191,201,0.9968642774067532,13
13,3,33,9,3,63,71,2,92,101,1,123,1,141,151,2,173,1,191,201,0.996643946501604,14
13,2,30,7,3,61,74,2,92,102,3,124,2,143,151,4,174,2,192,202,0.9962654697800556,15
12,3,33,5,1,61,73,3,92,103,2,124,1,141,152,2,174,2,192,201,0.996169241382477,16
14,3,33,8,2,65,71,2,91,101,1,124,3,141,151,1,171,1,192,201,0.9958945542762084,17
14,2,30,5,1,62,71,2,93,103,3,123,1,142,151,2,172,2,192,202,0.9957742355079778,18
12,1,32,8,1,61,73,4,92,103,4,122,1,141,151,3,171,2,192,201,0.995593904935282,19
12,1,31,9,3,61,75,4,91,101,2,124,3,142,152,3,174,1,191,202,0.9955360969982648,20
11,1,31,1,3,62,74,4,93,102,1,124,1,141,152,2,173,1,192,202,0.9955142310856192,21
14,1,33,7,3,62,73,3,93,101,4,123,2,142,151,1,172,2,192,201,0.9953946678506376,22
14,1,33,10,3,63,75,1,91,103,1,124,2,142,153,1,174,2,192,202,0.9952405504392172,23
12,3,32,1,1,64,72,2,93,101,3,124,1,142,152,4,174,2,191,201,0.994104105053763,24
12,3,33,10,2,61,72,3,91,101,4,121,3,141,152,1,173,1,191,202,0.9938616504149852,25
12,3,30,3,1,63,72,4,91,103,4,122,3,143,153,3,174,2,192,201,0.9935890100236852,26
12,2,34,6,1,64,72,3,94,102,1,124,1,141,152,1,174,1,191,202,0.9930390212788488,27
12,1,33,5,3,65,75,4,92,102,1,121,3,143,152,1,173,1,192,202,0.9929231060802324,28
13,3,32,6,3,62,71,1,94,101,3,124,2,142,151,1,171,1,191,201,0.9928161776572952,29
14,1,34,1,1,63,74,3,94,101,3,122,1,141,152,4,173,2,192,201,0.9926605659781436,30
11,3,33,2,1,61,75,2,91,103,2,124,3,143,153,2,171,2,191,201,0.9925884997722966,31
14,3,32,9,1,65,73,1,93,101,3,122,2,142,153,3,171,1,191,202,0.9925347526188592,32
14,1,33,9,1,63,71,2,94,101,2,123,3,141,151,1,174,2,192,201,0.9925133988620668,33
12,2,32,5,3,63,73,4,94,102,3,123,2,142,152,1,174,2,191,201,0.9917510909597516,34
11,1,31,6,1,64,73,2,94,102,1,122,1,141,152,2,171,2,192,201,0.9914431071515892,35
13,2,34,10,1,63,75,1,92,102,2,124,3,143,152,4,171,2,191,202,0.9908280028757664,36
13,3,31,4,2,65,74,4,92,102,1,124,3,142,152,1,173,2,191,202,0.9906899058968688,37
12,2,33,5,1,64,73,2,94,102,1,124,2,143,151,1,173,2,192,201,0.990605938954865,38
12,1,32,2,2,63,75,1,92,102,4,124,1,143,151,4,171,1,191,202,0.990427599080065,39
13,3,30,2,3,62,71,2,93,102,1,122,3,141,152,1,172,2,191,202,0.9901211852666932,40
14,2,33,3,3,61,74,4,93,102,2,121,2,141,152,1,174,2,191,202,0.9896090227164074,41
11,2,34,8,3,65,74,3,93,102,1,123,1,142,153,2,174,2,191,202,0.9892372457512222,42
13,3,33,0,1,65,71,3,93,103,3,121,1,142,152,4,172,2,191,201,0.9882592219717298,43
13,3,31,6,2,63,73,3,94,103,4,122,2,142,153,2,174,2,192,202,0.988015674398052,44
14,2,31,1,3,62,71,4,94,103,2,123,2,143,151,3,171,1,192,201,0.9879241585675952,45
11,3,33,10,2,63,71,2,93,103,1,122,2,142,151,1,173,1,192,202,0.9875822463063204,46
14,3,34,4,1,65,73,3,94,101,2,122,2,143,153,2,172,1,191,202,0.9873958442185709,47
13,3,34,6,2,64,73,1,94,101,1,124,2,141,151,3,172,1,191,202,0.9870906419529618,48
12,3,34,0,1,65,75,4,93,101,4,122,3,142,151,3,173,2,191,202,0.986492627637763,49
13,3,32,10,3,63,74,2,92,102,3,123,1,143,151,4,174,2,192,201,0.9864698236144686,50
12,2,33,9,1,61,74,1,94,103,2,121,3,143,152,4,174,2,192,201,0.9863847790733272,51
13,1,30,5,2,62,72,2,92,103,2,123,2,143,151,1,171,1,191,201,0.985970735282622,52
14,3,30,8,2,62,71,2,94,101,1,122,2,142,151,4,171,1,192,202,0.985668163135849,53
14,2,32,8,1,63,74,4,91,103,4,122,2,143,152,1,174,2,191,201,0.985594864825081,54
13,2,34,9,3,62,73,1,92,103,2,122,2,143,151,2,171,1,192,202,0.9853878146159898,55
14,3,33,3,1,62,74,4,91,101,1,121,1,141,152,1,174,2,192,201,0.985055617955928,56
14,3,33,4,1,65,71,2,91,103,3,124,1,141,152,1,174,1,191,202,0.985055365756006,57
12,1,32,6,2,65,74,3,92,102,3,122,3,143,153,2,172,2,191,201,0.9847242945749608,58
11,2,30,6,1,65,71,2,93,101,4,122,3,142,152,1,171,2,192,202,0.9847199027485366,59
14,2,32,8,3,64,71,4,93,103,4,123,1,141,152,1,173,2,191,201,0.9845326910777562,60
11,3,33,6,3,62,72,4,92,101,2,121,3,141,152,3,172,1,191,201,0.9841216056195844,61
12,2,34,0,1,65,73,1,93,103,2,124,3,143,152,4,173,2,192,201,0.9839863161046588,62
13,3,31,5,3,64,75,4,93,101,3,122,3,142,152,1,174,1,191,201,0.9824470668572652,63
13,1,31,10,2,63,73,1,93,103,3,123,2,143,151,3,172,2,192,202,0.9822111116252952,64
12,2,32,8,3,61,72,3,94,101,3,122,1,141,152,3,172,1,191,201,0.9821445874899682,65
13,2,32,1,1,63,75,3,92,102,4,123,1,141,152,2,174,1,191,201,0.9820129518018228,66
12,1,31,4,3,61,72,3,94,101,2,123,2,141,152,2,172,2,192,202,0.9819568219889278,67
11,3,34,8,3,61,71,1,93,101,4,123,2,143,151,2,173,2,191,201,0.9812880190675848,68
13,3,32,3,2,65,75,3,91,101,1,123,2,142,153,1,172,2,192,201,0.9810943460961624,69
12,1,32,3,3,61,71,2,93,103,2,121,1,143,151,3,171,2,191,201,0.9809440998120308,70
14,3,30,2,1,65,72,3,94,103,3,122,1,141,153,4,171,2,192,202,0.980919122260848,71
11,1,31,2,1,63,72,3,93,103,4,123,1,141,152,2,174,1,191,202,0.9808481673730716,72
13,1,32,9,2,65,73,2,92,102,2,123,2,142,151,3,173,2,192,202,0.9805600023507576,73
13,2,34,10,3,61,75,1,93,101,2,123,3,142,153,2,172,2,192,201,0.9803497184987966,74
12,1,33,0,3,63,74,2,94,101,1,122,1,141,152,2,173,1,191,201,0.9801389547490014,75
14,2,31,6,2,64,74,4,93,102,3,123,3,143,152,4,173,2,192,202,0.9800297853242906,76
14,2,30,9,1,65,73,1,91,102,4,123,1,142,153,1,171,1,191,202,0.9797635810568518,77
11,1,30,10,2,62,73,1,93,101,1,124,2,142,152,4,174,2,191,201,0.9787696813228456,78
12,3,34,8,2,62,75,4,92,101,4,122,1,141,151,4,171,1,192,201,0.9779422866309858,79
12,1,34,8,2,61,71,1,92,101,2,124,3,141,151,4,174,2,192,201,0.9770417999947576,80
14,1,31,1,3,62,73,2,91,103,1,124,2,142,152,2,172,1,191,202,0.9768084545230162,81
14,1,32,5,1,61,75,1,94,102,1,122,2,141,152,2,174,2,191,202,0.9766409522503255,82
12,2,32,4,3,64,75,4,92,102,4,121,3,143,151,2,173,1,191,202,0.976608919100126,83
12,3,30,10,1,65,72,1,91,102,3,122,3,143,151,2,173,1,191,201,0.97654760248173,84
14,3,30,7,3,65,72,4,94,102,1,123,1,141,153,4,174,1,192,202,0.97595734293436,85
11,1,34,6,1,63,74,4,91,102,3,122,3,142,152,3,171,2,191,201,0.9754096092802572,86
13,3,31,5,2,64,74,4,93,103,2,124,1,141,152,1,174,2,192,202,0.97530335285019,87
12,2,31,9,1,61,71,1,93,101,1,124,1,141,153,3,174,1,191,201,0.9748737078778296,88
14,3,33,10,3,62,71,2,93,103,1,123,2,143,152,2,172,2,192,201,0.9743517841896878,89
14,2,30,8,1,64,71,3,91,101,2,124,2,141,153,4,174,1,191,202,0.9743300055955209,90
13,1,34,3,1,62,75,3,93,101,3,122,2,143,153,2,172,2,192,201,0.9742044285497166,91
