,StatusExistingAcc,DurationMonth_x,CreditHistory,Purpose,CreditAmount_x,SavingsAccount,EmploymentLength,InstallmentRate,MarriedNSex,Debtors,ResidenceLength,Property,Age,InstallmentPlans,Housing,ExistingCredit,Job,NumPeopleLiable,Telephone,ForeignWorker,CreditEval,AgeBinary,DurationMonth_y,CreditAmount_y,score,age25,DurationMonth_C,CreditAmount_C,Age_C,rank
653,12,36,33,0,8086,62,75,2,93,101,4,123,42,143,152,4,174,1,192,201,2,other,0.470588235,0.568834599,0.790280217,0,2,3,2,1
890,11,27,34,9,2442,61,75,4,93,101,4,123,43,142,152,4,174,2,192,201,1,other,0.338235294,0.879388137,0.761418313,0,2,2,2,2
826,11,18,34,0,3966,61,75,1,92,101,4,121,33,141,151,3,173,1,192,201,2,other,0.205882353,0.795532079,0.744449197,0,1,2,1,3
768,12,12,34,2,3617,61,75,1,93,101,4,123,28,143,151,3,173,1,192,201,1,other,0.117647059,0.814735336,0.731606027,0,1,2,1,4
262,11,18,34,0,5302,61,75,2,93,101,4,124,36,143,153,3,174,1,192,201,1,other,0.205882353,0.722020469,0.72302068,0,1,3,2,5
29,11,60,33,9,6836,61,75,3,93,101,4,124,63,143,152,2,173,1,192,201,2,other,0.823529412,0.637614174,0.72145307,0,3,3,3,6
807,14,12,34,3,930,65,75,4,93,101,4,121,65,143,152,4,173,1,191,201,1,other,0.117647059,0.962583911,0.712601111,0,1,1,3,7
242,11,48,30,1,4605,61,75,3,93,101,4,124,24,143,153,2,173,2,191,201,2,young,0.647058824,0.76037196,0.711459991,1,2,3,1,8
65,14,27,32,5,5190,65,75,4,93,101,4,122,48,143,152,4,173,2,192,201,1,other,0.338235294,0.728183119,0.710031333,0,2,3,2,9
802,11,20,34,2,4272,61,75,1,92,101,4,122,24,143,152,2,173,1,191,201,1,young,0.235294118,0.778694839,0.700277015,1,1,3,1,10
146,11,6,34,0,860,61,75,1,92,101,4,124,39,143,152,2,173,1,192,201,1,other,0.029411765,0.966435567,0.696901829,0,1,1,2,11
957,12,9,34,3,1154,61,75,2,93,101,4,121,37,143,152,3,172,1,191,201,1,other,0.073529412,0.950258611,0.694348159,0,1,1,2,12
715,14,30,34,1,7596,65,75,1,93,101,4,123,63,143,152,2,173,1,191,201,1,other,0.382352941,0.595796192,0.693609141,0,2,3,3,13
672,14,60,32,0,10366,61,75,2,93,101,4,122,42,143,152,1,174,1,192,201,1,other,0.823529412,0.443380654,0.693068539,0,3,3,2,14
871,13,6,34,0,1343,61,75,1,93,101,4,121,46,143,152,2,173,2,191,202,1,other,0.029411765,0.939859139,0.691957378,0,1,1,2,15
772,14,21,34,1,3275,61,75,1,93,101,4,123,36,143,152,1,174,1,192,201,1,other,0.25,0.833553428,0.689963428,0,1,2,2,16
949,14,24,32,3,3621,62,75,2,93,101,4,123,31,143,152,2,173,1,191,201,2,other,0.294117647,0.814515242,0.686877437,0,1,2,1,17
263,14,12,34,6,2748,61,75,2,92,101,4,124,57,141,153,3,172,1,191,201,1,other,0.117647059,0.862550897,0.686238379,0,1,2,3,18
292,11,24,34,1,6419,61,75,2,92,101,4,124,44,143,153,2,174,2,192,201,1,other,0.294117647,0.66055904,0.681490236,0,1,3,2,19
955,11,24,34,3,1231,64,75,4,92,101,4,122,57,143,151,2,174,1,192,201,1,other,0.294117647,0.946021789,0.672584081,0,1,1,3,20
54,12,36,33,0,2225,61,75,4,93,101,4,124,57,141,153,2,173,1,192,201,2,other,0.470588235,0.891328271,0.671984466,0,2,2,3,21
205,11,30,34,1,10623,61,75,3,93,101,4,124,38,143,153,3,174,2,192,201,1,other,0.382352941,0.429239573,0.670373801,0,2,3,2,22
491,12,27,30,9,8318,61,75,2,92,101,4,124,42,143,153,2,174,1,192,201,2,other,0.338235294,0.55606911,0.670258184,0,2,3,2,23
319,11,15,33,2,3643,61,75,1,92,101,4,122,27,143,152,2,172,1,191,201,1,other,0.161764706,0.813304721,0.669780358,0,1,2,1,24
246,14,12,34,3,717,61,75,4,93,101,4,121,52,143,152,3,173,1,191,201,1,other,0.117647059,0.974303951,0.668269955,0,1,1,3,25
106,14,18,31,0,6458,61,75,2,93,101,4,124,39,141,152,2,174,2,192,201,2,other,0.205882353,0.658413118,0.664675126,0,1,3,2,26
374,12,60,31,10,14782,62,75,3,92,101,4,124,60,141,153,2,174,1,192,201,2,other,0.823529412,0.20039617,0.663366,0,3,3,3,27
912,12,30,32,3,2991,65,75,2,92,101,4,123,25,143,152,1,173,1,191,201,1,young,0.382352941,0.849180147,0.663230962,0,2,2,1,28
452,14,12,30,2,2759,61,75,2,93,101,4,122,34,143,152,2,173,1,191,201,1,other,0.117647059,0.861945637,0.662869959,0,1,2,1,29
701,11,48,34,1,6331,61,75,4,93,101,4,124,46,143,153,2,173,1,192,201,2,other,0.647058824,0.665401122,0.662783246,0,2,3,2,30
43,11,30,34,1,6187,62,74,1,94,101,4,123,24,143,151,2,173,1,191,201,1,young,0.382352941,0.67332453,0.66152139,1,2,3,1,31
635,14,12,32,6,1393,61,75,4,93,101,4,122,47,141,152,3,173,2,192,201,1,other,0.117647059,0.937107956,0.66134977,0,1,1,2,32
499,13,6,34,0,1323,62,75,2,91,101,4,123,28,143,152,2,173,2,192,201,1,other,0.029411765,0.940959613,0.661154365,0,1,1,1,33
72,11,8,34,10,1164,61,75,3,93,101,4,124,51,141,153,2,174,2,192,201,1,other,0.058823529,0.949708375,0.66050206,0,1,1,3,34
832,11,45,30,9,11816,61,75,2,93,101,4,123,29,143,151,2,173,1,191,201,2,other,0.602941176,0.363596346,0.66044109,0,2,3,1,35
373,14,60,34,0,13756,65,75,2,93,101,4,124,63,141,153,1,174,1,192,201,1,other,0.823529412,0.256850446,0.658365245,0,3,3,3,36
790,12,21,32,9,1188,61,75,2,92,101,4,122,39,143,152,1,173,2,191,201,2,other,0.25,0.948387807,0.657064398,0,1,1,2,37
844,14,18,32,2,3422,61,75,4,93,101,4,122,47,141,152,3,173,2,192,201,1,other,0.205882353,0.82546495,0.656994847,0,1,2,2,38
882,12,30,34,0,2181,65,75,4,93,101,4,121,36,143,152,2,173,1,191,201,1,other,0.382352941,0.893749312,0.656019024,0,2,2,2,39
